,v_ego,line_left,line_right,d_target,v_target,act_lon_ego,act_lat_ego,line_left_target,line_right_target,act_lon_target,act_lat_target
1.1400000000000001,28.067819963034854,1.539608276663315,-1.3650870230908336,63.14537373255779,21.76797559356274,c,fl,4.400952450770503,1.4962571510163545,c,fl
1.1500000000000001,28.11751752810498,1.5030180713700132,-1.4989791636323149,62.971823077927894,21.782863938767186,c,fl,4.349643375060908,1.3476461400585797,c,fl
1.16,28.21813805983573,1.4752868420749954,-1.5294690212150575,62.826817213668626,21.937705897654933,c,fl,4.448094817010485,1.4433389537204322,c,fl
1.17,28.214583128913734,1.5317113614664228,-1.5092309114243354,62.84377531346431,22.048102087867164,c,fl,4.545836020941865,1.5048937480511062,c,fl
1.18,28.20053685520545,1.5450108600309482,-1.4675873909734403,62.79179049858853,22.016609416721636,c,fl,4.552603641036619,1.5400053900322308,c,fl
1.19,28.13963004650851,1.5633515194218786,-1.4663510643917785,62.80457870799116,22.087936282903676,c,fl,4.553638235176753,1.5239356513630962,c,fl
1.2,28.079718915152384,1.636084130399559,-1.4491405450363688,62.543507775343045,22.14526064659075,c,fl,4.6438572654571475,1.5586325900212197,c,fl
1.21,28.027127126580766,1.630363758454542,-1.4252165662010725,62.48405977136483,22.121170439171923,c,fl,4.63877931374605,1.5831989890904357,c,fl
1.22,28.13656115848467,1.5471969512027903,-1.402104499988337,62.38906049584305,22.03624176063,c,fl,4.5224200142563005,1.5731185630651732,c,fl
1.23,28.13565991402186,1.519315319509077,-1.401785233036979,62.4143314357298,21.97644268715438,c,fl,4.494168843782514,1.5730682912364584,c,fl
1.24,28.0749639739931,1.60578466395373,-1.3450781585393714,62.363713623088486,21.952777627140865,c,fl,4.583243151619705,1.6323803291266028,c,fl
1.25,28.059763681921275,1.5518537325175765,-1.3891516522043206,62.334943998012164,21.970007414965156,c,fl,4.5346057490636635,1.5936003643417667,c,fl
1.26,28.090426878197118,1.442198520370308,-1.3572498564950053,62.23636859344199,21.95596543908589,c,fl,4.375383304410536,1.5759349275452228,c,fl
